"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationType","Source","Field","DispersalDistance","Code","Database","Unit","Sex"
"Micropterus dolomieu","Micropterus dolomieu","Micropterus dolomieu","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:5211250","Mark-Recapture","Funk 1957","Mean_dispersal_distance_(m)","6225.73","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus salmoides","Micropterus salmoides","Micropterus salmoides","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394563","Mark-Recapture","Gatz & Adams 1994","Mean_dispersal_distance_(m)","405.17","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus salmoides","Micropterus salmoides","Micropterus salmoides","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394563","Radio-tracking","Paller et al. 2005","Mean_dispersal_distance_(m)","1285","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus salmoides","Micropterus salmoides","Micropterus salmoides","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394563","Radio-tracking","Goclowski et al. 2013","Mean_dispersal_distance_(m)","4032","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus salmoides","Micropterus salmoides","Micropterus salmoides","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394563","Mark-Recapture","Funk 1957","Mean_dispersal_distance_(m)","9784.79","MeanDispersalDistance","Comte & Olden","m",NA
"Morone saxatilis","Morone saxatilis","Morone saxatilis","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","gbif","GBIF:2394612","Radio-tracking","Wilkerson & Fisher 1997","Mean_dispersal_distance_(m)","3213.87","MeanDispersalDistance","Comte & Olden","m",NA
"Morone saxatilis","Morone saxatilis","Morone saxatilis","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","gbif","GBIF:2394612","Radio-tracking","Wilkerson & Fisher 1997","Mean_dispersal_distance_(m)","3977.14","MeanDispersalDistance","Comte & Olden","m",NA
"Morone saxatilis","Morone saxatilis","Morone saxatilis","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","gbif","GBIF:2394612","Radio-tracking","Wilkerson & Fisher 1997","Mean_dispersal_distance_(m)","5483.33","MeanDispersalDistance","Comte & Olden","m",NA
"Morone saxatilis","Morone saxatilis","Morone saxatilis","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","gbif","GBIF:2394612","Radio-tracking","Wilkerson & Fisher 1997","Mean_dispersal_distance_(m)","6852","MeanDispersalDistance","Comte & Olden","m",NA
"Morone saxatilis","Morone saxatilis","Morone saxatilis","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","gbif","GBIF:2394612","Radio-tracking","Wilkerson & Fisher 1997","Mean_dispersal_distance_(m)","9043.5","MeanDispersalDistance","Comte & Olden","m",NA
