"SpeciesChecked","Taxa","LifeSpan","Database","Field","Unit","phylum","class","order","family","genus","species"
"Oenanthe oenanthe","Oenanthe oenanthe","10.08333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe oenanthe"
"Phoenicurus phoenicurus","Phoenicurus phoenicurus","10.25","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus"
"Cyanistes caeruleus","Cyanistes caeruleus","14.6","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes caeruleus"
"Parus major","Parus major","15.417","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major"
"Periparus ater","Periparus ater","9.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus ater"
"Poecile atricapillus","Poecile atricapillus","12.41666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile atricapillus"
"Poecile palustris","Poecile palustris","11.91666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile palustris"
"Parkesia motacilla","Parkesia motacilla","11.91666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Parulidae","Parkesia","Parkesia motacilla"
"Passer domesticus","Passer domesticus","23","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus"
"Passer montanus","Passer montanus","13.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus"
"Phylloscopus trochilus","Phylloscopus trochilus","11.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus"
"Prunella modularis","Prunella modularis","20.83333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Passeridae","Prunella","Prunella modularis"
"Sitta europaea","Sitta europaea","12.917","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta europaea"
"Sitta pusilla","Sitta pusilla","5.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta pusilla"
"Sturnus vulgaris","Sturnus vulgaris","22.91666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris"
"Sylvia atricapilla","Sylvia atricapilla","13.83333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla"
"Sylvia communis","Sylvia communis","8.916666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia communis"
"Campylorhynchus brunneicapillus","Campylorhynchus brunneicapillus","7.333333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Certhiidae","Campylorhynchus","Campylorhynchus brunneicapillus"
"Troglodytes aedon","Troglodytes aedon","9","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Certhiidae","Troglodytes","Troglodytes aedon"
"Troglodytes troglodytes","Troglodytes troglodytes","7","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Certhiidae","Troglodytes","Troglodytes troglodytes"
"Hylocichla mustelina","Hylocichla mustelina","10.16666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Turdidae","Hylocichla","Hylocichla mustelina"
"Sialia currucoides","Sialia currucoides","9","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia currucoides"
"Sialia mexicana","Sialia mexicana","8.666666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia mexicana"
"Sialia sialis","Sialia sialis","10.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia sialis"
"Turdus merula","Turdus merula","21.83333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus merula"
"Turdus philomelos","Turdus philomelos","17.7","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos"
"Turdus viscivorus","Turdus viscivorus","21.25","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus viscivorus"
"Myiarchus cinerascens","Myiarchus cinerascens","11.91666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","Myiarchus cinerascens"
"Sayornis nigricans","Sayornis nigricans","8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis nigricans"
"Vireo griseus","Vireo griseus","10.91666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo griseus"
"Ardea alba","Ardea alba","22.834","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea alba"
"Ardea cinerea","Ardea cinerea","37.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea"
"Egretta thula","Egretta thula","22.834","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta thula"
"Nycticorax nycticorax","Nycticorax nycticorax","21.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Pelecaniformes","Ardeidae","Nycticorax","Nycticorax nycticorax"
"Pelecanus erythrorhynchos","Pelecanus erythrorhynchos","54","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus erythrorhynchos"
"Eudocimus albus","Eudocimus albus","27.6","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Pelecaniformes","Threskiornithidae","Eudocimus","Eudocimus albus"
"Plegadis chihi","Plegadis chihi","20.4","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Plegadis chihi"
"Plegadis falcinellus","Plegadis falcinellus","26.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Plegadis falcinellus"
"Dendrocopos major","Dendrocopos major","12.7","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos major"
"Dryocopus pileatus","Dryocopus pileatus","13","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Piciformes","Picidae","Dryocopus","Dryocopus pileatus"
"Picus viridis","Picus viridis","15.2","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis"
"Aegolius funereus","Aegolius funereus","15.9","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius funereus"
"Asio otus","Asio otus","27.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Strigiformes","Strigidae","Asio","Asio otus"
"Athene cunicularia","Athene cunicularia","11","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene cunicularia"
"Bubo virginianus","Bubo virginianus","29","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo virginianus"
"Megascops asio","Megascops asio","20.7","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Strigiformes","Strigidae","Megascops","Megascops asio"
"Strix aluco","Strix aluco","22.41666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix aluco"
"Strix nebulosa","Strix nebulosa","27","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix nebulosa"
"Strix varia","Strix varia","24","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix varia"
"Tyto alba","Tyto alba","34","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Tyto alba"
"Morus bassanus","Morus bassanus","37.417","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Pelecaniformes","Sulidae","Morus","Morus bassanus"
"Aepyceros melampus","Aepyceros melampus","25.6","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Artiodactyla","Bovidae","Aepyceros","Aepyceros melampus"
"Rupicapra rupicapra","Rupicapra rupicapra","22","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Artiodactyla","Bovidae","Rupicapra","Rupicapra rupicapra"
"Syncerus caffer","Syncerus caffer","29.8","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Artiodactyla","Bovidae","Syncerus","Syncerus caffer"
"Alces alces","Alces alces","27","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Artiodactyla","Cervidae","Alces","Alces alces"
"Capreolus capreolus","Capreolus capreolus","17.5","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Artiodactyla","Cervidae","Capreolus","Capreolus capreolus"
"Cervus elaphus","Cervus elaphus","31.5","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus"
